Easting Northing Q1 I1 Q05 I05 elevation
741460.676 3669798.253 64.94 1.23 42.63 0.31 69.23
741461.165 3669798.241 64.55 1.29 42.74 0.32 69.225
741461.579 3669798.231 65.25 1.28 42.78 0.31 69.221
741462.302 3669798.218 64.47 1.25 42.63 0.3 69.223
741462.986 3669798.207 64.47 1.26 42.23 0.29 69.228
741463.53 3669798.193 64.12 1.22 42.51 0.28 69.231
741464.004 3669798.174 65.29 1.19 42.7 0.29 69.232
741464.562 3669798.152 64.74 1.22 42.23 0.31 69.233
741465.112 3669798.134 63.65 1.12 41.57 0.31 69.232
741465.891 3669798.111 63.41 1.06 41.1 0.3 69.229
741466.481 3669798.094 62.13 1.01 40.79 0.3 69.227
741466.924 3669798.084 61.07 0.96 40.79 0.31 69.228
741467.368 3669798.073 61.54 0.91 40.71 0.31 69.228
741467.996 3669798.057 60.76 0.89 40.05 0.31 69.227
741468.917 3669798.031 59.98 0.93 40.13 0.33 69.212
741469.515 3669798.015 60.09 0.93 39.7 0.33 69.203
741469.924 3669798.009 59.35 0.9 39.77 0.31 69.201
741470.469 3669798 59.82 0.94 39.93 0.32 69.199
741470.841 3669797.994 59.78 0.93 39.85 0.31 69.197
741471.544 3669797.981 60.29 0.91 39.93 0.32 69.202
741472.554 3669797.96 60.09 0.91 39.89 0.31 69.212
741472.949 3669797.952 59.31 0.85 40.13 0.32 69.211
741473.344 3669797.944 60.37 0.86 40.67 0.31 69.211
741473.81 3669797.935 60.41 0.85 40.67 0.3 69.21
741474.561 3669797.927 60.09 0.86 40.95 0.29 69.195
741475.154 3669797.924 61.73 0.89 41.8 0.3 69.178
741475.756 3669797.92 62.32 0.88 41.92 0.28 69.169
741476.251 3669797.916 64.2 0.95 42.39 0.28 69.172
741476.786 3669797.911 63.77 0.82 42.63 0.28 69.175
741477.335 3669797.9 63.18 0.73 43.05 0.28 69.172
741478.034 3669797.88 64.23 0.79 43.45 0.28 69.163
741478.486 3669797.866 64.63 0.86 44.42 0.3 69.157
741479.055 3669797.85 64.55 0.82 44.42 0.31 69.15
741479.617 3669797.833 64.27 0.79 44.81 0.31 69.144
741480.113 3669797.82 65.45 0.85 45.67 0.29 69.14
741480.659 3669797.807 66.23 0.84 45.91 0.29 69.14
741481.254 3669797.793 66.38 0.87 45.91 0.29 69.139
741481.828 3669797.78 66.7 0.85 45.95 0.3 69.132
741482.292 3669797.77 67.56 0.87 46.18 0.3 69.125
741482.754 3669797.76 67.79 0.84 46.61 0.3 69.118
