Easting Northing EcaH1 I1 EcaH05 i05 elevation
741630.175 3669640.679 76.23 -1.52 51.61 -0.93 69.205
741629.167 3669640.664 75.64 -1.54 51.49 -0.93 69.243
741628.518 3669640.665 76.03 -1.58 51.22 -0.93 69.295
741628.233 3669640.666 74.23 -1.57 50.09 -0.93 69.317
741627.667 3669640.666 73.84 -1.52 49.54 -0.92 69.362
741626.946 3669640.686 73.73 -1.56 49.93 -0.94 69.412
741625.973 3669640.717 73.14 -1.6 49.38 -0.93 69.477
741625.451 3669640.737 74.27 -1.56 49.62 -0.93 69.504
741624.793 3669640.763 73.18 -1.6 48.88 -0.94 69.533
741624.299 3669640.783 72.09 -1.57 47.78 -0.93 69.556
741623.794 3669640.801 71.89 -1.6 47.59 -0.93 69.576
741622.808 3669640.832 70.37 -1.59 47.08 -0.93 69.611
741622.089 3669640.856 70.17 -1.55 46.65 -0.92 69.63
741621.551 3669640.873 69.55 -1.53 47.2 -0.93 69.635
741620.835 3669640.896 69.82 -1.58 47.08 -0.95 69.643
741620.353 3669640.909 70.09 -1.55 47.27 -0.94 69.662
741619.634 3669640.923 70.29 -1.51 46.84 -0.93 69.708
741618.707 3669640.94 69.31 -1.55 46.34 -0.94 69.76
741618.33 3669640.943 69.35 -1.58 46.65 -0.95 69.768
741617.787 3669640.948 69.82 -1.58 46.61 -0.95 69.781
741617.327 3669640.952 69.98 -1.58 46.84 -0.95 69.791
741616.345 3669640.952 69.12 -1.57 46.22 -0.95 69.805
741615.477 3669640.951 68.69 -1.56 45.4 -0.94 69.816
741615.065 3669640.949 67.63 -1.65 45.71 -0.96 69.821
741614.529 3669640.946 67.75 -1.67 45.79 -0.96 69.827
741614.032 3669640.943 67.79 -1.66 45.75 -0.97 69.832
741613.089 3669640.945 67.32 -1.67 44.89 -0.99 69.852
741612.104 3669640.949 66.81 -1.65 44.97 -0.99 69.876
741611.711 3669640.958 65.72 -1.64 44.66 -0.99 69.888
741611.318 3669640.967 66.34 -1.62 45.32 -0.98 69.899
741610.782 3669640.979 66.15 -1.61 44.77 -0.96 69.915
741610.425 3669640.987 65.33 -1.63 44.77 -0.96 69.926
741609.131 3669641.045 65.64 -1.63 45.48 -0.96 69.924
741608.357 3669641.08 67.83 -1.67 46.14 -0.96 69.933
741607.937 3669641.098 67.83 -1.66 45.71 -0.97 69.944
741607.264 3669641.127 67.56 -1.62 45.24 -0.96 69.962
741606.626 3669641.146 67.52 -1.55 45.36 -0.96 69.97
741605.794 3669641.164 66.85 -1.57 45.2 -0.95 69.973
741604.684 3669641.188 67.79 -1.5 45.28 -0.92 69.982
741604.174 3669641.2 66.7 -1.55 44.77 -0.92 69.988
741603.662 3669641.211 66.42 -1.58 44.97 -0.94 69.994
741602.797 3669641.235 67.01 -1.54 44.93 -0.94 70.016
741601.977 3669641.259 66.27 -1.56 44.7 -0.95 70.038
741601.406 3669641.268 66.38 -1.56 44.7 -0.95 70.042
741600.63 3669641.276 66.58 -1.64 45.48 -0.95 70.041
741600.126 3669641.282 67.48 -1.63 45.98 -0.96 70.04
741598.635 3669641.289 67.91 -1.59 45.48 -0.96 70.086
741598.009 3669641.291 66.62 -1.61 45.59 -0.96 70.095
741597.409 3669641.292 67.56 -1.59 45.95 -0.95 70.096
741596.945 3669641.292 68.53 -1.55 46.06 -0.95 70.097
741596.205 3669641.287 67.09 -1.6 45.01 -0.98 70.106
741594.853 3669641.271 66.54 -1.62 45.16 -0.98 70.137
741594.394 3669641.265 68.14 -1.65 46.22 -0.99 70.159
741594.001 3669641.26 68.61 -1.63 46.61 -0.99 70.178
741593.641 3669641.255 68.18 -1.62 46.22 -0.99 70.196
741592.6 3669641.229 68.41 -1.6 46.49 -0.99 70.211
741591.758 3669641.206 69.2 -1.61 47.78 -1 70.229
741591.403 3669641.195 70.21 -1.63 47.59 -0.98 70.258
741590.915 3669641.181 70.88 -1.64 47.43 -0.99 70.298
741590.558 3669641.171 69.82 -1.69 46.8 -1 70.327
741590.091 3669641.167 69.35 -1.71 46.3 -1 70.353
741589.051 3669641.18 68.81 -1.7 46.1 -1 70.387
741588.415 3669641.198 68.96 -1.71 46.14 -1.01 70.413
741587.905 3669641.221 68.73 -1.68 45.79 -1.01 70.438
741587.436 3669641.242 67.87 -1.67 45.52 -1.02 70.461
741586.886 3669641.266 67.36 -1.69 45.59 -1.03 70.479
741585.945 3669641.309 67.87 -1.72 46.1 -1.03 70.49
741585.243 3669641.342 69.04 -1.73 46.06 -1 70.506
741584.656 3669641.372 69.82 -1.71 46.69 -1 70.531
741584.185 3669641.396 69.7 -1.7 46.34 -1 70.552
741583.713 3669641.42 69.94 -1.7 46.61 -1 70.567
741582.755 3669641.469 69.94 -1.68 46.34 -0.99 70.577
741582.083 3669641.502 70.68 -1.67 46.22 -0.99 70.591
741581.454 3669641.527 69.59 -1.66 45.79 -0.98 70.621
741580.944 3669641.547 68.45 -1.67 45.16 -0.99 70.645
741580.548 3669641.561 66.73 -1.69 44.07 -0.99 70.661
741579.751 3669641.583 66.77 -1.67 43.68 -0.97 70.682
741579.076 3669641.601 65.64 -1.63 43.25 -0.96 70.699
741578.487 3669641.599 64.27 -1.65 42.98 -0.97 70.708
741577.881 3669641.594 64.23 -1.72 43.02 -0.98 70.716
741577.595 3669641.592 64.82 -1.73 42.86 -0.98 70.719
741576.713 3669641.575 64.66 -1.7 42.74 -0.98 70.748
741575.781 3669641.553 64 -1.73 42.35 -0.98 70.788
741575.216 3669641.551 63.38 -1.73 42.27 -0.99 70.803
741574.755 3669641.553 62.01 -1.75 42.04 -0.99 70.814
741574.331 3669641.554 61.03 -1.73 41.53 -0.99 70.823
741573.94 3669641.556 60.52 -1.74 40.48 -0.99 70.831
741572.834 3669641.595 59.51 -1.71 39.62 -0.99 70.888
741572.054 3669641.622 57.87 -1.68 38.8 -0.98 70.924
741571.568 3669641.639 56.34 -1.63 37.86 -0.97 70.939
741570.88 3669641.663 56.15 -1.69 37.86 -0.98 70.96
741570.361 3669641.677 56.07 -1.69 38.09 -0.98 70.977
741569.574 3669641.69 56.7 -1.69 37.66 -0.97 71.006
741568.79 3669641.704 56.19 -1.71 37.94 -0.99 71.032
741568.296 3669641.716 56.73 -1.75 38.02 -1 71.044
741567.803 3669641.727 57.52 -1.76 37.9 -1 71.057
741567.385 3669641.737 56.19 -1.78 37 -1.01 71.067
741566.48 3669641.756 55.37 -1.76 37.08 -1.01 71.097
741565.582 3669641.774 54.74 -1.75 36.49 -1 71.127
741565.212 3669641.781 53.61 -1.77 35.87 -1.01 71.141
